Time;Concentration
0;3.421099827178499E-64
86.94999705901093;5.7068555085360795E-64
173.89999411802185;-1.3427876119211923E-64
347.7999882360437;-3.6212308395173355E-63
695.5999764720874;-1.133712816934013E-62
1391.1999529441748;-6.166862966527709E-63
2782.3999058883496;1.3870249352945413E-62
5564.799811776699;1.3431548266745914E-63
8347.19971766505;-4.3013177855791804E-63
11129.599623553398;3.20512593153329E-63
13911.999529441748;-1.7426705924530883E-64
16694.3994353301;-1.944647215165935E-63
19476.799341218448;1.47197825903413E-63
25041.599152995146;6.525960218829742E-64
30606.398964771844;-6.242231178951004E-64
36171.19877654855;2.1061301214569445E-64
41735.998588325245;1.0671310846976164E-64
47300.79840010194;-1.55728524606373E-64
52865.59821187864;5.099990034706789E-65
63995.19783543204;4.926360082151802E-65
75124.79745898544;-2.166904486288743E-65
86254.39708253884;2.3750529005689845E-66
97383.99670609224;3.366641355149053E-66
108513.59632964563;-2.2244142333271948E-66
130772.79557675243;-4.4517835189105796E-67
153031.99482385922;3.326934096880714E-67
175291.194070966;-9.383693273249134E-68
197550.3933180728;-4.175480068066772E-69
219809.5925651796;1.1557581346861177E-68
264327.9910593932;-2.991604980643979E-69
308846.3895536068;-8.891500208592927E-70
353364.7880478204;4.2764309874597664E-70
397883.186542034;-5.167691770052305E-71
442401.58503624756;-2.480303903482587E-71
531438.3820246748;1.978157301004429E-71
620475.179013102;1.2360060364217654E-73
709511.9760015291;-1.028772274902132E-72
798548.7729899563;2.51145476899744E-73
887585.5699783835;1.8372854345468738E-73
987585.5699783835;3.5943738683597796E-71
1087585.5699783834;1.688338072013501E-69
1187585.5699783834;4.7715438092830106E-68
1287585.5699783834;9.947938074603454E-67
1387585.5699783834;1.668120634643679E-65
1487585.5699783834;2.3603681516460194E-64
1587585.5699783834;2.905770959956333E-63
1687585.5699783834;3.1788890524905816E-62
1787585.5699783834;3.138949663039395E-61
1887585.5699783834;2.8312047189627055E-60
1987585.5699783834;2.3547098324657753E-59
2087585.5699783834;1.819744938855577E-58
2187585.5699783834;1.3150614224986885E-57
2287585.5699783834;8.433315074032599E-57
2387585.5699783834;5.111817325848481E-56
2487585.5699783834;2.946910756193373E-55
2587585.5699783834;1.6211952498340578E-54
2687585.5699783834;8.535558191038743E-54
2787585.5699783834;4.311854404665746E-53
2887585.5699783834;2.094687818498283E-52
2987585.5699783834;9.80581624124036E-52
3087585.5699783834;4.431564378368369E-51
3187585.5699783834;1.936709293016484E-50
3287585.5699783834;8.197219032863274E-50
3387585.5699783834;3.3648659019862265E-49
3487585.5699783834;1.3412913131286125E-48
3587585.5699783834;5.198093034405386E-48
3687585.5699783834;1.9606650993828627E-47
3787585.5699783834;7.205094671702965E-47
3887585.5699783834;2.582025907849547E-46
3987585.5699783834;9.031216662581769E-46
4087585.5699783834;3.085687611889767E-45
4187585.5699783834;1.0306482629851789E-44
4287585.569978383;3.36770645642753E-44
4387585.569978383;1.0772514674879977E-43
4487585.569978383;3.3754838996910642E-43
4587585.569978383;1.036698766979022E-42
4687585.569978383;3.122583514352807E-42
4787585.569978383;9.229003495041711E-42
4887585.569978383;2.677917351784799E-41
4987585.569978383;7.632247156206824E-41
5087585.569978383;2.1375763979283164E-40
5187585.569978383;5.8856770570851084E-40
5287585.569978383;1.5938945840842388E-39
5387585.569978383;4.2470346285216595E-39
5487585.569978383;1.1138895097768803E-38
5587585.569978383;2.8766598665004827E-38
5687585.569978383;7.317763645116642E-38
5787585.569978383;1.8342515816546698E-37
5887585.569978383;4.5318079868137024E-37
5987585.569978383;1.103957024158135E-36
6087585.569978383;2.652355974203963E-36
6187585.569978383;6.28690012731045E-36
6287585.569978383;1.4705779705289292E-35
6387585.569978383;3.395499726018978E-35
6487585.569978383;7.740997192957432E-35
6587585.569978383;1.7429195468735526E-34
6687585.569978383;3.876600892127117E-34
6787585.569978383;8.519633297379208E-34
6887585.569978383;1.8504882565647934E-33
6987585.569978383;3.973232079649371E-33
7087585.569978383;8.43504483794647E-33
7187585.569978383;1.7709557276637634E-32
7287585.569978383;3.6778437215439137E-32
7387585.569978383;7.556663133059742E-32
7487585.569978383;1.5363908667665127E-31
7587585.569978383;3.0916452773934885E-31
7687585.569978383;6.15847527461646E-31
7787585.569978383;1.2145898470732057E-30
7887585.569978383;2.3721075208396517E-30
7987585.569978383;4.5883962575805674E-30
8087585.569978383;8.791866265355438E-30
8187585.569978383;1.6690330940699092E-29
8287585.569978383;3.13964858482518E-29
8387585.569978383;5.853239712223444E-29
8487585.569978382;1.0816238032348214E-28
8587585.569978382;1.9814580319683047E-28
8687585.569978382;3.5990255738504817E-28
8787585.569978382;6.48242922349173E-28
8887585.569978382;1.1579866519357553E-27
8987585.569978382;2.0518289213060133E-27
9087585.569978382;3.606685702178505E-27
9187585.569978382;6.2901587841661925E-27
9287585.569978382;1.0885705670509664E-26
9387585.569978382;1.8695956485937414E-26
9487585.569978382;3.187046083691532E-26
9587585.569978382;5.393007129667623E-26
9687585.569978382;9.059977650905814E-26
9787585.569978382;1.51121861284127E-25
9887585.569978382;2.5031169999573976E-25
9987585.569978382;4.117536618283935E-25
1.0087585569978382E7;6.727352420907093E-25
1.0187585569978382E7;1.0918132802724917E-24
1.0287585569978382E7;1.7603391088736163E-24
1.0387585569978382E7;2.8198991453521604E-24
1.0487585569978382E7;4.488537121463445E-24
